Iteracao;MelhorResultado;MediaResultados;
1;-448,154600399071455285593401640654;-667,578490426773214494460262358189;
2;-448,154600399071455285593401640654;-699,851572009579058430972509086132;
3;-478,807644124212913538940483704209;-723,189588746714548506133724004030;
4;-932,672818140076969939400441944599;-775,149992430443830926378723233938;
5;-932,672818140076969939400441944599;-775,149992430443830926378723233938;
6;-959,565608232982640402042306959629;-779,007105153067755054507870227098;
7;-959,565608232982640402042306959629;-787,454807575302766053937375545502;
8;-959,565608232982640402042306959629;-790,119001023357895974186249077320;
9;-959,565608232982640402042306959629;-791,306285547608354136173147708178;
10;-959,565608232982640402042306959629;-791,306285547608354136173147708178;
11;-959,565608232982640402042306959629;-798,614446287667760771000757813454;
12;-959,565608232982640402042306959629;-798,815824286692418354505207389593;
13;-959,565608232982640402042306959629;-798,815824286692418354505207389593;
14;-959,565608232982640402042306959629;-798,815824286692418354505207389593;
15;-959,565608232982640402042306959629;-798,815824286692418354505207389593;
16;-959,565608232982640402042306959629;-798,815824286692418354505207389593;
17;-959,565608232982640402042306959629;-798,815824286692418354505207389593;
18;-959,565608232982640402042306959629;-798,815824286692418354505207389593;
19;-959,565608232982640402042306959629;-798,815824286692418354505207389593;
20;-959,565608232982640402042306959629;-798,815824286692418354505207389593;
